herbid,diseaseId
HERB000036,HBDIS002488
HERB000036,HBDIS002511
HERB000036,HBDIS002614
HERB000036,HBDIS002625
HERB000036,HBDIS002675
HERB000036,HBDIS002687
HERB000036,HBDIS002720
HERB000036,HBDIS002840
HERB000036,HBDIS002848
HERB000036,HBDIS002946
HERB000036,HBDIS002976
HERB000036,HBDIS003041
HERB000036,HBDIS003089
HERB000036,HBDIS003384
HERB000036,HBDIS003471
HERB000036,HBDIS003489
HERB000036,HBDIS003646
HERB000036,HBDIS003826
HERB000036,HBDIS004160
HERB000036,HBDIS004214
HERB000036,HBDIS004484
HERB000036,HBDIS004786
HERB000036,HBDIS004831
HERB000036,HBDIS005031
HERB000036,HBDIS005183
HERB000036,HBDIS005263
HERB000036,HBDIS005414
HERB000036,HBDIS005417
HERB000036,HBDIS005472
HERB000036,HBDIS005698
HERB000036,HBDIS006850
HERB000036,HBDIS006956
HERB000036,HBDIS007040
HERB000036,HBDIS007042
HERB000036,HBDIS007121
HERB000036,HBDIS007187
HERB000036,HBDIS007648
HERB000036,HBDIS008202
HERB000036,HBDIS008389
HERB000036,HBDIS008573
HERB000036,HBDIS008623
HERB000036,HBDIS009165
HERB000036,HBDIS009675
HERB000036,HBDIS009847
HERB000036,HBDIS009970
HERB000036,HBDIS009980
HERB000036,HBDIS009989
HERB000036,HBDIS010013
HERB000036,HBDIS010160
HERB000036,HBDIS010172
HERB000036,HBDIS010448
HERB000036,HBDIS010453
HERB000036,HBDIS010516
HERB000036,HBDIS010574
HERB000036,HBDIS010627
HERB000036,HBDIS010663
HERB000036,HBDIS011383
HERB000036,HBDIS012024
HERB000036,HBDIS012386
HERB000036,HBDIS012469
HERB000036,HBDIS012712
HERB000036,HBDIS012795
HERB000036,HBDIS013025
HERB000036,HBDIS013280
HERB000036,HBDIS013435
HERB000036,HBDIS013555
HERB000036,HBDIS013665
HERB000036,HBDIS013817
HERB000036,HBDIS014345
HERB000036,HBDIS014348
HERB000036,HBDIS014419
HERB000036,HBDIS014591
HERB000036,HBDIS014650
HERB000036,HBDIS014739
HERB000036,HBDIS014958
HERB000036,HBDIS018627
HERB000036,HBDIS018664
HERB000036,HBDIS019081
HERB000036,HBDIS019636
HERB000036,HBDIS020464
HERB000036,HBDIS020482
HERB000036,HBDIS021012
HERB000036,HBDIS021536
HERB000036,HBDIS021628
HERB000036,HBDIS022452
HERB000036,HBDIS026830
HERB000036,HBDIS026847
HERB000036,HBDIS027782
HERB000036,HBDIS027796
HERB000036,HBDIS027834
HERB000036,HBDIS000567
HERB000036,HBDIS000615
HERB000036,HBDIS000621
HERB000036,HBDIS000668
HERB000036,HBDIS000669
HERB000036,HBDIS000785
HERB000036,HBDIS000931
HERB000036,HBDIS001436
HERB000036,HBDIS001547
HERB000036,HBDIS001666
HERB000036,HBDIS001792
HERB000036,HBDIS002109
HERB000036,HBDIS002149
HERB000036,HBDIS002356
HERB000036,HBDIS002459
HERB000036,HBDIS002841
HERB000036,HBDIS003258
HERB000036,HBDIS003788
HERB000036,HBDIS003892
HERB000036,HBDIS003967
